2022-Jan-25 16:40:08 [INFO] Initialized Memory Manager!(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 38)
2022-Jan-25 16:40:12 [INFO] Released NonStatic TextureDatas!(C:\Users\Mingz\source\Github\GameSense\GSEngine\source\ResourceManager.cpp, Line: 233)
2022-Jan-25 16:40:12 [ERROR] Error! Project File Outdated! Use the Launcher to Update Project!C:\Users\Mingz\source\Executables\GameSense_Editor+Example\GameSense_Editor+Example\ExampleProject\ExampleProject.gsp(C:\Users\Mingz\source\Github\GameSense\GameSense2D\Source\Editor.cpp, Line: 869)
2022-Jan-25 16:40:15 [INFO] Released Static TextureDatas!(C:\Users\Mingz\source\Github\GameSense\GSEngine\source\ResourceManager.cpp, Line: 246)
2022-Jan-25 16:40:15 [INFO] Released NonStatic TextureDatas!(C:\Users\Mingz\source\Github\GameSense\GSEngine\source\ResourceManager.cpp, Line: 233)
2022-Jan-25 16:40:15 [INFO] Released Font Data!(C:\Users\Mingz\source\Github\GameSense\GSEngine\source\ResourceManager.cpp, Line: 260)
2022-Jan-25 16:40:15 [INFO] System class GSEngine::PhysicsSystem released.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 54)
2022-Jan-25 16:40:15 [INFO] System class GSEngine::CameraSystem released.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 54)
2022-Jan-25 16:40:15 [INFO] System class GSEngine::CollisionSystem released.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 54)
2022-Jan-25 16:40:15 [INFO] System class GSEngine::AudioSystem released.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 54)
2022-Jan-25 16:40:15 [INFO] System class GSEngine::RenderSystem released.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 54)
2022-Jan-25 16:40:15 [INFO] System class GSEngine::ParticleSystem released.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 54)
2022-Jan-25 16:40:15 [INFO] System class GSEngine::AnimationSystem released.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 54)
2022-Jan-25 16:40:15 [INFO] System class GSEngine::ControllerSystem released.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 54)
2022-Jan-25 16:40:15 [INFO] System class GSEngine::UISystem released.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 54)
2022-Jan-25 16:40:15 [INFO] Released System Manager!(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 59)
2022-Jan-25 16:40:15 [INFO] Released Entity Manager!(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\EntityManager.h, Line: 86)
2022-Jan-25 16:40:15 [INFO] Released Component Manager!(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\ComponentManager.h, Line: 43)
2022-Jan-25 16:40:15 [INFO] Released Memory Manager!(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 61)
