2021-Dec-05 07:33:41 [INFO] Initialized Memory Manager!(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 38)
2021-Dec-05 07:33:42 [INFO] Initialized System Manager!(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 44)
2021-Dec-05 07:33:42 [INFO] System Manager allocated 8388608 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2021-Dec-05 07:33:42 [INFO] class GSEngine::Camera allocated 188416 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2021-Dec-05 07:33:42 [INFO] struct GSEngine::Transform allocated 20480 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2021-Dec-05 07:33:42 [INFO] struct GSEngine::UITransform allocated 18432 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2021-Dec-05 07:33:42 [INFO] struct GSEngine::RigidBody allocated 38912 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2021-Dec-05 07:33:42 [INFO] struct GSEngine::Texture allocated 98304 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2021-Dec-05 07:33:42 [INFO] struct GSEngine::TextObject allocated 90112 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2021-Dec-05 07:33:42 [INFO] struct GSEngine::BoxCollider2D allocated 32768 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2021-Dec-05 07:33:42 [INFO] struct GSEngine::CircleCollider2D allocated 28672 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2021-Dec-05 07:33:42 [INFO] class GSEngine::ParticleEngine allocated 110592 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2021-Dec-05 07:33:42 [INFO] class GSEngine::AudioObject allocated 40960 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2021-Dec-05 07:33:42 [INFO] struct GSEngine::PolygonCollider2D allocated 53248 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2021-Dec-05 07:33:42 [INFO] struct GSEngine::QuadShear allocated 8192 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2021-Dec-05 07:33:42 [INFO] struct GSEngine::LightSource allocated 24576 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2021-Dec-05 07:33:42 [INFO] struct GSEngine::AnimController allocated 40960 bytes of global memory.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 69)
2021-Dec-05 07:33:42 [INFO] System 'class GSEngine::PhysicsSystem' (128 bytes) created.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 77)
2021-Dec-05 07:33:42 [INFO] System 'class GSEngine::CollisionSystem' (152 bytes) created.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 77)
2021-Dec-05 07:33:42 [INFO] System 'class GSEngine::RenderSystem' (888 bytes) created.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 77)
2021-Dec-05 07:33:42 [INFO] System 'class GSEngine::CameraSystem' (128 bytes) created.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 77)
2021-Dec-05 07:33:42 [INFO] System 'class GSEngine::AnimationSystem' (128 bytes) created.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 77)
2021-Dec-05 07:33:42 [INFO] System 'class GSEngine::ParticleSystem' (128 bytes) created.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 77)
2021-Dec-05 07:33:42 [INFO] System 'class GSEngine::AudioSystem' (128 bytes) created.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 77)
2021-Dec-05 07:33:42 [INFO] System 'class GSEngine::ControllerSystem' (144 bytes) created.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 77)
2021-Dec-05 07:33:42 [INFO] System 'class GSEngine::UISystem' (184 bytes) created.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 77)
2021-Dec-05 07:33:46 [INFO] Released Static TextureDatas!(C:\Users\Mingz\source\Github\GameSense\GSEngine\source\ResourceManager.cpp, Line: 246)
2021-Dec-05 07:33:46 [INFO] Released NonStatic TextureDatas!(C:\Users\Mingz\source\Github\GameSense\GSEngine\source\ResourceManager.cpp, Line: 233)
2021-Dec-05 07:33:46 [INFO] Released Font Data!(C:\Users\Mingz\source\Github\GameSense\GSEngine\source\ResourceManager.cpp, Line: 260)
2021-Dec-05 07:33:46 [INFO] System class GSEngine::PhysicsSystem released.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 54)
2021-Dec-05 07:33:46 [INFO] System class GSEngine::CameraSystem released.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 54)
2021-Dec-05 07:33:46 [INFO] System class GSEngine::CollisionSystem released.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 54)
2021-Dec-05 07:33:46 [INFO] System class GSEngine::RenderSystem released.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 54)
2021-Dec-05 07:33:46 [INFO] System class GSEngine::AnimationSystem released.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 54)
2021-Dec-05 07:33:46 [INFO] System class GSEngine::ParticleSystem released.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 54)
2021-Dec-05 07:33:46 [INFO] System class GSEngine::AudioSystem released.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 54)
2021-Dec-05 07:33:46 [INFO] System class GSEngine::ControllerSystem released.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 54)
2021-Dec-05 07:33:46 [INFO] System class GSEngine::UISystem released.(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 54)
2021-Dec-05 07:33:46 [INFO] Released System Manager!(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\SystemManager.h, Line: 59)
2021-Dec-05 07:33:46 [INFO] Released Entity Manager!(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\EntityManager.h, Line: 86)
2021-Dec-05 07:33:46 [INFO] Released Component Manager!(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Core\ComponentManager.h, Line: 43)
2021-Dec-05 07:33:46 [INFO] Released Memory Manager!(C:\Users\Mingz\source\Github\GameSense\GSEngine\Include\Engine\Memory\MemoryManager.h, Line: 61)
